architecture,architecture_label,target,target_label,fold,condition,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,true_probability,logit_margin,stage2_macro_recall
no_lstm,NoLSTM,2,L2,fold01,attention_zero,69.559123343527,68.37227579350514,68.28516772537714,52.79202858519244,76.22395821786705,65.45537653387991,76.11940298507463,68.11647173489278,65.85365853658537,72.35780984719864,70.6296992481203,62.55529522895813,2.136696517467499,70.36799361007057
no_lstm,NoLSTM,2,L2,fold01,random_window,65.47757390417941,65.3630758568869,64.28175051413324,46.175545549232446,74.68842814339538,61.45336452872259,76.86567164179105,58.68347953216374,65.85365853658539,64.47559422750425,62.71522556390978,59.473669558763504,1.486976748376619,61.95809977452592
no_lstm,NoLSTM,3,L3,fold01,baseline,69.559123343527,68.37227579350514,68.62594314301404,52.06951107478062,76.33716561431108,64.89114748211034,76.11940298507463,68.11647173489278,65.85365853658537,72.35780984719864,70.6296992481203,62.84417808055878,2.1097796335816383,70.36799361007057
no_lstm,NoLSTM,3,L3,fold01,maximum,69.559123343527,68.37227579350514,68.62594314301404,52.06951107478062,76.37080410022716,64.92625658086159,76.11940298507463,68.11647173489278,65.85365853658537,72.35780984719864,70.6296992481203,62.89662420749664,2.111943334341049,70.36799361007057
no_lstm,NoLSTM,3,L3,fold01,attention_shuffle,68.86467889908258,67.83464138490298,68.04229497872072,51.183260103689356,76.08866726169332,64.68903615986976,76.11940298507463,68.11647173489278,65.85365853658537,70.74490662139219,70.6296992481203,62.59031295776367,2.094577580690384,69.83035920146843
no_lstm,NoLSTM,3,L3,fold01,attention_zero,68.86467889908258,67.83464138490298,68.04229497872072,51.183260103689356,75.80630006637347,64.41119794147792,76.11940298507463,68.11647173489278,65.85365853658537,70.74490662139219,70.6296992481203,62.47454881668091,2.077792316675186,69.83035920146843
no_lstm,NoLSTM,3,L3,fold01,random_window,69.50356778797146,68.32926504081696,68.57925128987061,51.99861099709331,76.36291194265215,64.91839652120473,76.11940298507466,68.1164717348928,65.85365853658539,72.22877758913411,70.62969924812032,62.86339458823204,2.1105769466608764,70.32498285738241
no_lstm,NoLSTM,5,L5,fold01,baseline,69.559123343527,68.37227579350514,68.62594314301404,52.06951107478062,76.33716561431108,64.89114748211034,76.11940298507463,68.11647173489278,65.85365853658537,72.35780984719864,70.6296992481203,62.84417808055878,2.1097796335816383,70.36799361007057
no_lstm,NoLSTM,5,L5,fold01,maximum,66.41819571865443,65.42741363811666,64.72748203396964,47.22797304154251,74.45752787761171,62.39561920471182,76.11940298507463,62.85331384015594,65.85365853658537,67.09465195246179,61.795112781954884,60.3278785943985,1.8174132965505123,63.91435952485754
no_lstm,NoLSTM,5,L5,fold01,attention_shuffle,69.48904179408767,69.01450636994625,68.91288793776428,52.08908989235213,75.99113454657189,64.58191018473255,76.11940298507463,66.47173489278751,65.85365853658537,70.71307300509338,72.55639097744361,61.62344515323639,1.99387676268816,69.9137329584415
